CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,470,579,839,,𒀀,𒀀,A,A,a; duru₅; A,a (211); A (54); duru₅ (6),a; aya₂; duru₅,a (693); aya₂ (2); duru₅ (1),,a; aiax; duru5; e4; ia10; (dur5),water; drink,,,,,,,,, a,,,a; A,a (256); A (52),a; A,a (6433); A (26),,,a; e₄; A,a (26668); A (793); e₄ (2),a; A,a (8124); A (226),a; A,a (9699); A (9250)
,,,,,,230,334,560,,𒀉, 𒀉,A₂,A2,a₂; ti₈; A₂,a₂ (23); ti₈ (1); A₂ (1),a₂; ti₈,a₂ (33); ti₈ (4),,a2; id; it; te8; (ed); [ti8],arm; wing; strength,,,,,,,,, id; it; iṭ; ed; et; eṭ,,,et; id; it; iṭ,it (22); id (7); et (4); iṭ (1),a₂; ed; et; eṭ; id; it; iṭ; A₂,it (606); id (152); iṭ (33); et (25); eṭ (10); ed (2); a₂ (1); A₂ (1),,,a₂; ed; et; eṭ; id; it; iṭ; A₂,it (1610); id (419); et (172); iṭ (113); A₂ (71); ed (47); eṭ (44); a₂ (12),a₂; ed; et; eṭ; id; it; iṭ; A₂,it (927); id (163); iṭ (30); et (19); eṭ (12); A₂ (9); ed (3); a₂ (2),a₂; eṭ; id; it; iṭ,it (766); id (149); iṭ (92); eṭ (13); a₂ (3)
,,,,,,125,128,223,,𒀊, 𒀊,AB,AB,ab; aba; eš₃; AB,AB (26); eš₃ (13); ab (12); aba (2),ab; eš₃,ab (25); eš₃ (6),,ab; aba; erigal3/irigal3 k; eš3; is3/iz3; unu(g)-; (ap); [unu5],sea; lake; ( eš3): shrine,,,,,,,,, ab; ap (uncommon; ab2; ap2 preferred); in PNs with dAB - Illil (Enlil),,,ab; ap,ab (5); ap (3),ab; ap; AB,ab (221); ap (204); AB (2),,,ab; ap; es₃; is₃; iṣ₃; AB,ab (564); ap (456); AB (124); es₃ (11); iṣ₃ (1); is₃ (1),ab; ap; iṣ₃; AB,ab (154); ap (67); AB (7); iṣ₃ (5),ab; ap; AB,ap (28); AB (28); ab (27)
,,,,,,127,128.1,227,,𒀋, 𒀋,|AB×AŠ₂|,AB×AŠ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,352,420,672,,𒀖,𒀖,AB₂,AB2,ab₂; AB₂,ab₂ (138); AB₂ (7),ab₂,ab₂ (3),,ab2,cow,,,,,,,,, ab2; ap2,,,,,,,,,ab₂; ap₂; let; li₈; lid; lit; liti; liṭ; rem₂; reme₂; rim₂; AB₂,lit (331); lid (157); let (134); liṭ (46); AB₂ (36); rem₂ (21); rim₂ (6); li₈ (4); reme₂ (3); ap₂ (3); liti (1); ab₂ (1),let; lid; lit; liṭ; rem₂; AB₂,lit (60); lid (54); liṭ (8); let (2); rem₂ (2); AB₂ (2),let; lit; liṭ,lit (31); liṭ (15); let (4)
,,,,,,132,145,258,,𒀜, 𒀜,AD,AD,ad; at; AD,ad (52); at (3); AD (2),ad; at; AD,ad (4); at (1); AD (1),,ad (at),song,,,,,,,,, ad; at; aṭ,,,ad; at; aṭ,at (19); ad (12); aṭ (2),ad; at; aṭ; AD,at (704); ad (213); aṭ (80); AD (11),,,ab₃; ad; at; aṭ; AD,at (1263); ad (532); AD (444); aṭ (115); ab₃ (1),ad; at; aṭ; AD,at (295); AD (130); ad (88); aṭ (26),ad; at; aṭ; AD,at (196); AD (192); ad (29); aṭ (8)
,,,,,,245,379.2,854,,𒍞, 𒍞,ZA@t,AD4 (ZA-t.),,,,,,ad4,,,,,,,,,,,,,,,ZA@t,ZA@t (1),,,,,,,,
,,,,,,52,97,127,1201D,𒀝, 𒀝,AK,AG,a₅; ag; ak; kid₃; AK,ak (43); ag (6); a₅ (3); AK (2); kid₃ (2),ak,ak (19),,a5; ag; ak; aka; ke3; ša5; (me3-); [ki(d)3],to make,,,,,,,, ag; ak; aq, ag; ak; aq,,,ak; aq; AK,ak (44); aq (4); AK (1),ag; ak; aq; AK,ak (325); aq (95); ag (56); AK (15),,,ag; ak; aq; AK,ak (583); aq (215); ag (49); AK (48),ag; ak; aq,ak (106); aq (70); ag (6),ag; ak; aq,ak (18); aq (17); ag (6)
,,,,,,136,183,326,,𒉘, 𒉘,|NINDA₂×NE|,AĜ2,,,aŋ₂,aŋ₂ (54),,aĝ2; eĝ3; iĝ3; (am2 k); [em3]; [im3],to weigh; measure,,,,,,,,,,,,,,,,,,am₂; ram; rama,ram (96); am₂ (1); rama (1),ram,ram (59),,
,,,,,,219.1,347,556.2,,𒂇, 𒂇,DUN₃@g@g,AGA,mir; niŋir; DUN₃@g@g,niŋir (17); DUN₃@g@g (7); mir (5),mir; niŋir,mir (2); niŋir (1),,aga,crown,,,,,,,,,,,,,,mir,mir (2),,,mer; mir,mir (241); mer (38),mer; mir,mir (68); mer (1),mer; mir,mir (12); mer (2)
